"Markt/wirtschaftliche Faktoren"
"Materialwert [3.76]"
"Kosten für ein gleichwertiges neues Element [3.9]"
"#1 Gewicht"
"Ersetzbarkeit (Ersatzteile) des Elements [3.43]"
"Kosten der Prüfung (chemische Zusammensetzung, gefährliche Stoffe...) [3.95]"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
