"Markt/wirtschaftliche Faktoren"
"Kosten für ein gleichwertiges neues Element [3.9]"
"Kosten der Lagerung [3.76]"
"Kosten für den Transport [3.62]"
"Materialwert [3.76]"
"#1  Kosten für die Demontage"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
