"Prozessorientierte Faktoren"
"#1  Bearbeitbarkeit"
"#1- Schweißbarkeit [3.43]"
"Ersetzbarkeit (Ersatzteile) des Elements [3.43]"
"#1 Funktionalität der Verbindungen"
"#1 Anpassungsfähigkeit Verwendung für gleiche oder andere Funktion"
"#1 mögliche Wiederverwendung von Verbindungen"
