"Markt/wirtschaftliche Faktoren"
"Kohlenstoffäquivalenzwert [3.38]"
"Kosten der Prüfung (chemische Zusammensetzung, gefährliche Stoffe...) [3.95]"
"Materialwert [3.76]"
"Ersetzbarkeit (Ersatzteile) des Elements [3.43]"
"Kosten für ein gleichwertiges neues Element [3.9]"
"#1  Aufwand der Demontage"
"Menge (Quantität) desselben Elements [4.38]"
"Gesellschaftlicher (z. B. historischer) Wert [3.29]"
"Kosten für den Transport [3.62]"
"Kosten der Lagerung [3.76]"
"#1  Kosten für die Demontage"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
