"Architektonische Faktoren"
"#1  Länge des Profils/Elements"
"Menge (Quantität) desselben Elements [4.38]"
"Typ / Querschnitt des Profils [3.86]"
"Dicke des Profils [3.57]"
"#1 Gewicht"
"Funktion (Verwendung) des Elements [3.1]"
"Höhe des Profils [3.57]"
"#1  verfügbare Dokumentation"
"Breite des Profils [3.57]"
"Andere Maße (Flansch, Steg) des Profils [3.43]"
"#1 - Datum der Herstellung (Alter des Elements) [3.38]"
"Werkstoffgruppe [3.57]"
