"#1  Länge des Profils/Elements"
"Typ / Querschnitt des Profils [3.86]"
"Breite des Profils [3.57]"
"Höhe des Profils [3.57]"
"Technische Faktoren"
"Dicke des Profils [3.57]"
"Andere Maße (Flansch, Steg) des Profils [3.43]"
