"Faktoren für die Rückbaubarkeit"
"Art der Verbindung des Elements [3.9]"
"#1  Kosten für die Demontage"
"Exposition des Elements [3.76]"
"Zugänglichkeit der Verbindung [4.24]"
"#1  Aufwand der Demontage"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
"Lage im Gebäude [3.67]"
"Eigentümer*in"
