"Markt/wirtschaftliche Faktoren"
"Kosten für ein gleichwertiges neues Element [3.9]"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
"#1  Kosten für die Demontage"
