"Ökologische Faktoren (CO2, Energie)"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
"#1  Kosten für die Demontage"
"#1 Zerlegbarkeit"
"#1  Aufwand der Demontage"
"Kosten der Prüfung (chemische Zusammensetzung, gefährliche Stoffe...) [3.95]"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
"Lage im Gebäude [3.67]"
"Kosten für den Transport [3.62]"
"Kosten für ein gleichwertiges neues Element [3.9]"
"Gesellschaftlicher (z. B. historischer) Wert [3.29]"
"Menge (Quantität) desselben Elements [4.38]"
"Materialwert [3.76]"
"Kosten der Lagerung [3.76]"
"#1 Anpassungsfähigkeit Verwendung für gleiche oder andere Funktion"
"Graue Energie CO2 / CO2-Äq. Einsparung [3.81]"
