"Geometrische faktoren"
"Dicke des Profils [3.57]"
"Höhe des Profils [3.57]"
"#1  Länge des Profils/Elements"
"Andere Maße (Flansch, Steg) des Profils [3.43]"
"Breite des Profils [3.57]"
"Typ / Querschnitt des Profils [3.86]"
