"Faktoren für die Rückbaubarkeit"
"Lage im Gebäude [3.67]"
"#1 Zerlegbarkeit"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
"Art der Verbindung des Elements [3.9]"
"Zugänglichkeit der Verbindung [4.24]"
"#1  Aufwand der Demontage"
