"Faktoren für die Rückbaubarkeit"
"Art der Verbindung des Elements [3.9]"
"Zugänglichkeit der Verbindung [4.24]"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
"#1 Funktionalität der Verbindungen"
"#1 mögliche Wiederverwendung von Verbindungen"
"#1  Aufwand der Demontage"
