"Qualitätsfaktoren"
"Zustand - Beschädigung durch Versprödung [4.62]"
"Zustand - Beschädigung durch Korrosion [4.57]"
"Exposition des Elements [3.76]"
"#1 Funktionalität der Verbindungen"
"Art der Verbindung des Elements [3.9]"
"Zustand - Vorhandensein von Radioaktivität [""4.86""]"
"Zustand - Beschädigung durch Abrieb [4.1]"
"Zustand - Beschädigung durch Feuer [4.71]"
"Geradheit [3.9]"
