"Zeitliche Faktoren"
"#1  Innovationspotenzial"
"#1 Zerlegbarkeit"
"#1 Kaskadenpotential"
"Menge (Quantität) desselben Elements [4.38]"
"#1 Anpassungsfähigkeit Verwendung für gleiche oder andere Funktion"
"Graue Energie CO2 / CO2-Äq. Einsparung [3.81]"
"Gesellschaftlicher (z. B. historischer) Wert [3.29]"
"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
"#1  Bearbeitbarkeit"
