"Faktoren für die Rückbaubarkeit"
"Art der Verbindung des Elements [3.9]"
"Exposition des Elements [3.76]"
"Zugänglichkeit der Verbindung [4.24]"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
