"Architektonische Faktoren"
"Menge (Quantität) desselben Elements [4.38]"
"Typ / Querschnitt des Profils [3.86]"
"#1  Länge des Profils/Elements"
"Gesellschaftlicher (z. B. historischer) Wert [3.29]"
"#1 Anpassungsfähigkeit Verwendung für gleiche oder andere Funktion"
"Art der Beschichtung [3.81]"
