"Prozessorientierte Faktoren"
"#1 Funktionalität der Verbindungen"
"Funktion (Verwendung) des Elements [3.1]"
"#1 Zerlegbarkeit"
"#1- Schweißbarkeit [3.43]"
"#1  Bearbeitbarkeit"
"#1 Anpassungsfähigkeit Verwendung für gleiche oder andere Funktion"
