Scopus refine results values

"Your query : ((TITLE-ABS-KEY(reus*) AND TITLE-ABS-KEY(structural AND *)) AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""MATE"" ) OR LIMIT-TO ( SUBJAREA,""ENVI"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Reusability"" ) OR LIMIT-TO ( EXACTKEYWORD,""Reuse"" ) OR LIMIT-TO ( EXACTKEYWORD,""Building Materials"" ) OR LIMIT-TO ( EXACTKEYWORD,""Buildings"" ) OR LIMIT-TO ( EXACTKEYWORD,""Circular Economy"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Component"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Elements"" ) ) )"


Number of results : 1622

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Alifanov, O.","2",,,,,,,"Solar Energy Materials And Solar Cells","3","Cellulose","31","Università degli Studi di Napoli Federico II","4","Defense Acquisition Program Administration","2",,,,,,
,,,,"Amado, A.","2",,,,,,,"Solid State Sciences","3","Copper","31","Jinan University","4","Department of Atomic Energy, Government of India","2",,,,,,
,,,,"Ambur, D.R.","2",,,,,,,"Structural Engineering International Journal Of The International Association For Bridge And Structural Engineering IABSE","3","Metal Nanoparticles","31","Fuzhou University","4","Department of Education, Northern Ireland","2",,,,,,
,,,,"Arias, F.R.","2",,,,,,,"Structures","3","Structural Dynamics","31","Università degli Studi di Palermo","4","Department of Science and Technology, Government of West Bengal","2",,,,,,
,,,,"Arivuoli, D.","2",,,,,,,"Sustainable Cities And Society","3","Chlorine Compounds","30","Universidade Federal de Lavras","4","Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México","2",,,,,,
,,,,"Arshad, M.I.","2",,,,,,,"Ultrasonics Sonochemistry","3","Crystal Structure","30","Technische Universität Wien","4","Education Department of Jiangxi Province","2",,,,,,
,,,,"Arslan, H.","2",,,,,,,"Waste And Biomass Valorization","3","Dye","30","Panjab University","4","Education Department of Shaanxi Province","2",,,,,,
,,,,"Ashok Gandhi, P.","2",,,,,,,"World Academy Of Science Engineering And Technology","3","Iron","30","Vlaamse Instelling voor Technologisch Onderzoek","4","Eidgenössische Technische Hochschule Zürich","2",,,,,,
,,,,"Aslani, F.","2",,,,,,,"20th Congress Of IABSE New York City 2019 The Evolving Metropolis Report","2","Polymer","30","Tianjin University","4","Federación Española de Enfermedades Raras","2",,,,,,
,,,,"Assi, A.","2",,,,,,,"32nd Congress Of The International Council Of The Aeronautical Sciences Icas 2021","2","Costs","29","University of Liverpool","4","Fonds Wetenschappelijk Onderzoek","2",,,,,,
,,,,"Baek, K.Y.","2",,,,,,,"37th AIAA ASME ASCE AHS ASC Structure Structural Dynamics And Materials Conference","2","Demolition","29","Kunming University of Science and Technology","4","Fujian Provincial Department of Science and Technology","2",,,,,,
,,,,"Bajaj, N.S.","2",,,,,,,"39th AIAA ASME SAE ASEE Joint Propulsion Conference And Exhibit","2","Heterogeneous Catalyst","29","Sun Yat-Sen University","4","Fundamental Research Funds for Central Universities of the Central South University","2",,,,,,
,,,,"Banat, F.","2",,,,,,,"40th AIAA Aerospace Sciences Meeting And Exhibit","2","Photocatalytic Degradation","29","Razi University","4","Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","2",,,,,,
,,,,"Bandyopadhyay, M.","2",,,,,,,"53rd AIAA ASME ASCE AHS ASC Structures Structural Dynamics And Materials Conference 2012","2","Rate Constants","29","Indian Institute of Technology Kanpur","4","Gauhati University","2",,,,,,
,,,,"Bandyopadhyay, R.","2",,,,,,,"61st International Astronautical Congress 2010 Iac 2010","2","Re-usable Launch Vehicles (RLV)","29","İstanbul Teknik Üniversitesi","4","Generalitat Valenciana","2",,,,,,
,,,,"Baniotopoulos, C.","2",,,,,,,"9th International Space Planes And Hypersonic Systems And Technologies Conference","2","Aqueous Solution","28","Beijing Jiaotong University","4","Generalitat de Catalunya","2",,,,,,
,,,,"Bank, L.C.","2",,,,,,,"AIAA Science And Technology Forum And Exposition AIAA Scitech Forum 2022","2","Bismuth Compounds","28","Wuhan University of Technology","4","Grantová Agentura České Republiky","2",,,,,,
,,,,"Barnoncel, D.","2",,,,,,,"ASME International Mechanical Engineering Congress And Exposition Proceedings","2","Chemical Analysis","28","University of Tehran","4","Guangzhou Municipal Science and Technology Project","2",,,,,,
,,,,"Barrocas, B.","2",,,,,,,"ASTM Special Technical Publication","2","Composite Structures","28","Universitat Autònoma de Barcelona","4","Higher Education Discipline Innovation Project","2",,,,,,
,,,,"Bertin, I.","2",,,,,,,"Acta Astronautica","2","Doping (additives)","28","Osaka University","4","Honeywell Federal Manufacturing and Technologies","2",,,,,,
,,,,"Bhiri, S.","2",,,,,,,"Advanced Composites And Hybrid Materials","2","Energy Dispersive Spectroscopy","28","Universidade de Aveiro","4","Indian Institute of Science","2",,,,,,
,,,,"Bilal, M.","2",,,,,,,"Applied Energy","2","Iron Oxides","28","University of Isfahan","4","Kementerian Pendidikan Malaysia","2",,,,,,
,,,,"Bilo, F.","2",,,,,,,"Applied Materials Today","2","Life Cycle Assessment","28","KU Leuven","4","Korea Advanced Institute of Science and Technology","2",,,,,,
,,,,"Birkved, M.","2",,,,,,,"Applied Physics A Materials Science And Processing","2","Magnetite","28","Zhejiang University of Technology","4","Korea Environmental Industry and Technology Institute","2",,,,,,
,,,,"Bonetti, D.","2",,,,,,,"Asia Pacific Journal Of Chemical Engineering","2","Porosity","28","École des Ponts ParisTech","4","Liaoning Revitalization Talents Program","2",,,,,,
,,,,"Briga-Sá, A.","2",,,,,,,"Automation In Warehouse Development","2","Rhodamine B","28","NASA Glenn Research Center","4","Major Science and Technology Program for Water Pollution Control and Treatment","2",,,,,,
,,,,"Budnik, S.","2",,,,,,,"Biomass And Bioenergy","2","Rhodium Compounds","28","Isfahan University of Technology","4","Ministerio de Ciencia e Innovación","2",,,,,,
,,,,"Cai, X.","2",,,,,,,"Bioresources","2","Timber","28","Lanzhou University","4","Ministero dell'Ambiente e della Tutela del Territorio e del Mare","2",,,,,,
,,,,"Cao, X.","2",,,,,,,"Building Research And Information","2","Visible Light","28","Wuhan University","4","Ministero dell’Istruzione, dell’Università e della Ricerca","2",,,,,,
,,,,"Carr, R.W.","2",,,,,,,"Buildings","2","Escherichia Coli","27","Boeing Corporation","4","Ministry of Education - Singapore","2",,,,,,
,,,,"Cavallaro, F.","2",,,,,,,"Case Studies In Construction Materials","2","Isotherms","27","Toronto Metropolitan University","4","Ministry of Education, Culture, Sports, Science and Technology","2",,,,,,
,,,,"Chankhanittha, T.","2",,,,,,,"Chemical Engineering Science","2","Reaction Kinetics","27","University of Patras","4","Ministry of Education, Science and Technology","2",,,,,,
,,,,"Chauhan, M.","2",,,,,,,"Chinese Journal Of Aeronautics","2","Steel Construction","27","Curtin University","4","Ministry of Environment","2",,,,,,
,,,,"Chen, D.","2",,,,,,,"Composite Construction In Steel And Concrete Viii Proceedings Of The 8th International Conference On Composite Construction In Steel And Concrete 2017","2","Surface Property","27","Agenzia Spaziale Italiana","4","Ministry of Higher Education, Malaysia","2",,,,,,
,,,,"Chen, J.F.","2",,,,,,,"Composite Structures","2","Thermodynamics","27","Universidad Nacional Autónoma de México","4","Ministry of Housing and Urban-Rural Development","2",,,,,,
,,,,"Chen, Q.","2",,,,,,,"Composites Science And Technology","2","Waste Water Management","27","The Islamia University of Bahawalpur","4","Ministry of Human Resource Development","2",,,,,,
,,,,"Chen, R.","2",,,,,,,"Computers And Industrial Engineering","2","Wastewater","27","University of Belgrade","4","Ministry of Science and Technology of the People's Republic of China","2",,,,,,
,,,,"Undefined","4",,,,,,,"Computing In Civil Engineering New York","2","Adsorption Kinetics","26","Mar Ivanios College, Thiruvananthapuram","4","Undefined","834",,,,,,
